This is Ipopt version 3.14.4, running with linear solver MUMPS 5.5.1.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       24
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       24
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       24
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  3.2556009e+02 0.00e+00 1.14e+07   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.3522741e+02 0.00e+00 2.69e+02   2.0 3.81e+06    -  2.60e-07 4.06e-09f  7
   2  2.3522490e+02 0.00e+00 2.67e+02  -1.7 2.64e-06    -  1.00e+00 1.00e+00f  1
   3  1.5032331e+02 0.00e+00 2.42e+02  -2.3 2.24e-01    -  1.00e+00 1.00e+00f  1
   4  1.3384912e+02 0.00e+00 3.32e+03  -3.1 1.77e-01    -  1.00e+00 5.00e-01f  2
   5  1.2756209e+02 0.00e+00 1.12e+03  -3.3 8.47e-01    -  1.00e+00 1.40e-02f  7
   6  1.1634105e+02 0.00e+00 1.69e+02  -4.0 1.60e-02    -  1.00e+00 1.00e+00f  1
   7  1.1033291e+02 0.00e+00 8.01e+02  -5.6 2.15e-02    -  1.00e+00 1.00e+00f  1
   8  1.0524900e+02 0.00e+00 7.56e+02  -7.1 2.93e-02    -  1.00e+00 1.00e+00f  1
   9  1.0178974e+02 0.00e+00 1.05e+03  -8.2 5.70e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  9.9864912e+01 0.00e+00 3.29e+02  -9.3 4.36e-02    -  1.00e+00 1.00e+00f  1
  11  9.6803851e+01 0.00e+00 1.97e+02 -10.8 1.43e-02    -  1.00e+00 1.00e+00f  1
  12  9.3215530e+01 0.00e+00 1.23e+02 -10.5 1.88e+00    -  1.00e+00 2.42e-02f  5
  13  8.7399946e+01 0.00e+00 2.74e+02 -11.0 1.73e-01    -  1.00e+00 5.00e-01f  2
  14  8.5207754e+01 0.00e+00 8.70e+02  -9.5 4.19e+01    -  1.00e+00 1.94e-03f  4
  15  8.4060157e+01 0.00e+00 6.58e+02  -9.5 2.00e+00    -  1.00e+00 1.27e-02f  6
  16  8.3802664e+01 0.00e+00 4.99e+02 -10.2 1.68e-01    -  1.00e+00 1.00e+00f  1
  17  8.1582101e+01 0.00e+00 4.05e+02  -8.1 1.37e+03    -  1.39e-03 8.91e-06f  6
  18  8.0950894e+01 0.00e+00 3.91e+02  -9.5 2.00e+01    -  1.00e+00 3.49e-04f  7
  19  7.9082248e+01 0.00e+00 4.53e+03  -9.0 6.30e-01    -  1.00e+00 7.81e-03f  8
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  7.1161715e+01 0.00e+00 1.18e+03  -6.5 3.16e+02    -  5.42e-03 8.90e-04f  3
  21  6.8274300e+01 0.00e+00 2.21e+03  -8.2 1.61e+00    -  1.00e+00 2.37e-01f  2
  22  6.4748199e+01 0.00e+00 3.34e+02  -6.2 1.96e+02    -  2.63e-02 5.70e-04f  2
  23  6.1993964e+01 0.00e+00 1.82e+02  -7.1 1.40e+00    -  1.00e+00 4.37e-02f  4
  24  6.0250027e+01 0.00e+00 4.58e+02  -5.1 1.30e+02    -  3.50e-03 3.76e-04f  5
  25  5.6529411e+01 0.00e+00 5.39e+02  -5.3 7.36e+01    -  1.00e+00 1.60e-03f  1
  26  5.6420502e+01 0.00e+00 5.45e+02  -5.3 1.43e+00    -  1.00e+00 7.32e-04f  1
  27  5.0755023e+01 0.00e+00 3.37e+02  -4.9 8.84e-01    -  1.00e+00 4.30e-02f  2
  28  4.9876825e+01 0.00e+00 2.61e+03  -4.5 2.56e+00    -  1.00e+00 7.55e-04f  9
  29  4.6826207e+01 0.00e+00 3.93e+02  -3.7 1.20e+01    -  1.00e+00 1.81e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  4.6183669e+01 0.00e+00 4.05e+02  -1.5 3.92e+02    -  4.87e-03 3.70e-06f  9
  31  4.5378170e+01 0.00e+00 3.12e+02  -4.6 9.16e-04    -  1.00e+00 6.00e-01f  1
  32  4.4117474e+01 0.00e+00 2.37e+02  -6.3 4.67e-03    -  1.00e+00 2.50e-01f  3
  33  4.2089998e+01 0.00e+00 1.48e+03  -7.8 1.08e-02    -  1.00e+00 1.25e-01f  4
  34  3.8591962e+01 0.00e+00 1.26e+03  -5.2 2.69e-02    -  5.63e-01 1.00e+00f  1
  35  3.8413182e+01 0.00e+00 1.24e+03  -7.1 5.83e-03    -  1.00e+00 1.41e-02f  1
  36  3.1487459e+01 0.00e+00 2.74e+02  -5.1 5.50e-03    -  7.20e-01 1.00e+00f  1
  37  3.1312419e+01 0.00e+00 2.08e+02  -6.9 2.11e-03    -  1.00e+00 2.22e-01f  1
  38  3.1235675e+01 0.00e+00 1.90e+02  -8.6 3.41e-03    -  1.00e+00 1.16e-01f  1
  39  3.1062643e+01 0.00e+00 6.05e+01  -6.6 1.39e-02    -  2.72e-01 1.25e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.1053168e+01 0.00e+00 6.08e+01  -9.0 1.62e-03    -  1.00e+00 5.08e-02f  1
  41  3.0865586e+01 0.00e+00 6.59e+01 -10.8 6.74e-03    -  1.00e+00 3.08e-01f  1
  42  3.0271217e+01 0.00e+00 1.70e+02 -11.0 2.48e-02    -  1.00e+00 1.00e+00f  1
  43  2.9500633e+01 0.00e+00 1.01e+02 -11.0 8.11e-02    -  1.00e+00 4.24e-01f  2
  44  2.5321394e+01 0.00e+00 6.30e+01 -11.0 4.78e-02    -  1.00e+00 1.00e+00f  1
  45  2.0173810e+01 0.00e+00 2.27e+02 -11.0 2.89e-01    -  1.00e+00 9.02e-01f  1
